,process_num,iso_level,anomaly,txn_proceeded,txn_succeeded,txn_correct,txn_retries,retry_time,avg_latency,50_percentile_latency,95_percentile_latency,99_percentile_latency
0,1,RC,LU,2,2,1,0,0,0.0041664059999999975,0.0041664059999999975,0.004492781099999996,0.004521792219999996
746,1,S,WS,2,1,2,1,1,0.05645439100000001,0.05645439100000001,0.10431685720000002,0.10857129864000002
478,1,RC,RS,2,2,2,0,0,0.0034117985000000003,0.0034117985000000003,0.0034145403499999997,0.00341478407
425,1,S,PR,2,2,2,0,0,0.010069656500000003,0.010069656500000003,0.01594329365,0.01646539473
213,1,RR,NR,2,2,2,0,0,0.0029755574999999965,0.0029755574999999965,0.0031919143499999935,0.003211146069999993
159,1,RC,NR,2,2,2,0,0,0.0028817610000000035,0.0028817610000000035,0.0030957432000000016,0.0031147638400000014
532,1,RR,RS,2,2,2,0,0,0.002975899500000004,0.002975899500000004,0.003368386350000001,0.0034032740700000006
53,1,RR,LU,2,1,2,1,1,0.056341901,0.056341901,0.10332619489999999,0.10750257658
372,1,RR,PR,2,2,2,0,0,0.010245363000000007,0.010245363000000007,0.015989456400000015,0.016500042480000015
586,1,S,RS,2,2,2,0,0,0.0032729769999999964,0.0032729769999999964,0.003692270799999997,0.003729541359999997
692,1,RR,WS,2,1,2,1,1,0.05625103149999999,0.05625103149999999,0.10342295964999998,0.10761601992999999
106,1,S,LU,2,1,2,1,1,0.056342089500000005,0.056342089500000005,0.10366435995,0.10787078399000001
265,1,S,NR,2,2,2,0,0,0.0030586490000000036,0.0030586490000000036,0.0034167365000000024,0.0034485665000000025
318,1,RC,PR,2,2,1,0,0,0.009855994999999992,0.009855994999999992,0.015544385599999992,0.016050020319999993
639,1,RC,WS,2,2,2,0,0,0.0035664804999999966,0.0035664804999999966,0.0041424296499999996,0.00419362513
650,2,RC,WS,2,2,1,0,0,0.004983798499999997,0.004983798499999997,0.005245320049999997,0.005268566409999996
171,2,RC,NR,2,2,2,0,0,0.003224540000000012,0.003224540000000012,0.003616000400000012,0.003650796880000012
649,2,RC,WS,2,2,1,0,0,0.004489031500000004,0.004489031500000004,0.005264792350000001,0.005333748870000001
488,2,RC,RS,2,2,2,0,0,0.0029246905000000073,0.0029246905000000073,0.0032241020500000093,0.0032507164100000095
489,2,RC,RS,2,2,2,0,0,0.0030382360000000136,0.0030382360000000136,0.0032317513000000115,0.0032489526600000115
596,2,S,RS,2,2,2,0,0,0.0029444404999999785,0.0029444404999999785,0.0032736447499999736,0.0033029073499999733
597,2,S,RS,2,2,2,0,0,0.002895959999999996,0.002895959999999996,0.0032890602000000013,0.0033240024400000017
544,2,RR,RS,2,2,2,0,0,0.003262197999999994,0.003262197999999994,0.003581727699999998,0.0036101303399999982
65,2,RR,LU,2,1,2,1,1,0.056503843,0.056503843,0.1039501528,0.10816760256
704,2,RR,WS,2,1,2,1,1,0.056563403,0.056563403,0.10489045549999998,0.10918619349999999
703,2,RR,WS,2,1,2,1,1,0.0568265945,0.0568265945,0.10501427975,0.10929762955
757,2,S,WS,2,0,2,2,2,0.10800972,0.10800972,0.108256914,0.1082788868
116,2,S,LU,2,0,2,2,2,0.10792159800000001,0.10792159800000001,0.10914061650000001,0.1092489737
115,2,S,LU,2,1,2,1,1,0.05550789850000001,0.05550789850000001,0.10150486675,0.10559348615000001
64,2,RR,LU,2,1,2,1,1,0.0562887105,0.0562887105,0.10357947734999999,0.10778310107
543,2,RR,RS,2,1,2,1,1,0.056660342,0.056660342,0.104669087,0.108936531
758,2,S,WS,2,2,2,0,0,0.003796181999999995,0.003796181999999995,0.004078891799999995,0.004104021559999995
170,2,RC,NR,2,2,2,0,0,0.002696542499999996,0.002696542499999996,0.0029527387500000004,0.0029755117500000006
224,2,RR,NR,2,1,2,1,1,0.05538751050000001,0.05538751050000001,0.10238188755,0.10655916551
383,2,RR,PR,2,2,2,0,0,0.011203778500000004,0.011203778500000004,0.01696938235000001,0.017481880470000013
11,2,RC,LU,2,2,1,0,0,0.004381577499999997,0.004381577499999997,0.004606781350000003,0.004626799470000003
10,2,RC,LU,2,2,0,0,0,0.004422066500000002,0.004422066500000002,0.004880391950000004,0.004921131990000004
384,2,RR,PR,2,1,2,1,1,0.06285974449999998,0.06285974449999998,0.10379399314999999,0.10743259303
436,2,S,PR,2,1,2,1,1,0.0633107595,0.0633107595,0.10491294764999999,0.10861091993
225,2,RR,NR,2,2,2,0,0,0.002862077999999997,0.002862077999999997,0.003168568500000001,0.0031958121000000015
